iter	MultiClass
0	0.9924002391
1	0.9086650748
2	0.8426388494
3	0.7890233469
4	0.7459610882
5	0.7082851919
6	0.6771228186
7	0.6505306536
8	0.6279096947
9	0.6083096354
10	0.5910087799
11	0.5761205838
12	0.5630831457
13	0.5517718008
14	0.5424710417
15	0.5330959111
16	0.5249821661
17	0.5174745603
18	0.5109389234
19	0.5053406224
20	0.5003983409
21	0.4958034487
22	0.4914085308
23	0.4875482077
24	0.4840945459
25	0.4804664557
26	0.4777358197
27	0.4750359054
28	0.4724778248
29	0.4702406333
30	0.4681462902
31	0.4660394629
32	0.4647036341
33	0.4632145792
34	0.4617162499
35	0.4604501025
36	0.4589302778
37	0.4578739911
38	0.4564875509
39	0.4551218387
40	0.4541741134
41	0.4531560261
42	0.4524324237
43	0.4512511522
44	0.4502060006
45	0.4494173439
46	0.4485737095
47	0.447852914
48	0.4470160129
49	0.4462978718
50	0.4454529355
51	0.4448952341
52	0.4441858486
53	0.4434291452
54	0.4428779113
55	0.4420376504
56	0.4416323655
57	0.4411229201
58	0.4405494398
59	0.440059144
60	0.4395334727
61	0.438842162
62	0.4384818861
63	0.4378900071
64	0.4373230197
65	0.4370215216
66	0.436630097
67	0.4360897541
68	0.4357449437
69	0.4351950196
70	0.4345046811
71	0.4341968135
72	0.4336671941
73	0.4332001433
74	0.4327879821
75	0.4324368918
76	0.4320019834
77	0.4317339426
78	0.4313748697
79	0.4309595117
80	0.4302108101
81	0.4298211233
82	0.4295268733
83	0.4292587187
84	0.4288381174
85	0.4282403887
86	0.428054577
87	0.4275344475
88	0.4272097854
89	0.4267714617
90	0.4263859448
91	0.4260015645
92	0.4255144509
93	0.425166931
94	0.424636768
95	0.4243911323
96	0.424065069
97	0.4237814936
98	0.4232185816
99	0.4227921886
100	0.4223912157
101	0.4217549315
102	0.4212892756
103	0.4208937862
104	0.4203053994
105	0.4200109518
106	0.4196997061
107	0.4192519413
108	0.4187866016
109	0.4185052929
110	0.41828324
111	0.4180575429
112	0.4177018553
113	0.4175568288
114	0.4173237735
115	0.4170663695
116	0.4167671626
117	0.4165690207
118	0.4162921241
119	0.4158887961
120	0.4153976969
121	0.4149733049
122	0.4146409133
123	0.4141714199
124	0.4138203455
125	0.4135366478
126	0.4132022907
127	0.4128056686
128	0.4124712839
129	0.4121801538
130	0.4117784574
131	0.4113613431
132	0.4109993592
133	0.4105587071
134	0.4101025224
135	0.409637185
136	0.4093315004
137	0.408998117
138	0.4087759027
139	0.4084489569
140	0.4079577073
141	0.4077880955
142	0.407599365
143	0.4071778919
144	0.4067282792
145	0.4066452547
146	0.4060728737
147	0.405769873
148	0.4054576488
149	0.4049892094
150	0.4047815568
151	0.4044458454
152	0.404175411
153	0.4038435546
154	0.4035966337
155	0.4032056644
156	0.4029410631
157	0.4026823476
158	0.4023876978
159	0.4020911609
160	0.4016541742
161	0.4013420658
162	0.4010730092
163	0.4007821755
164	0.4006224589
165	0.4003324547
166	0.400007209
167	0.3997406606
168	0.3994326288
169	0.3990750978
170	0.3987936397
171	0.3984761704
172	0.3981880578
173	0.3978565472
174	0.3976111412
175	0.3973162049
176	0.396865787
177	0.3965631093
178	0.3962931861
179	0.3958889059
180	0.3956568854
181	0.3951607904
182	0.3949652011
183	0.394552263
184	0.394330525
185	0.3938173368
186	0.3936440767
187	0.3933658489
188	0.3930275967
189	0.3925279692
190	0.3922876146
191	0.3919236357
192	0.3917248675
193	0.3914289714
194	0.3911155457
195	0.3908287317
196	0.390559143
197	0.3901289779
198	0.3899040107
199	0.3897029284
