iter	Passed	Remaining
0	177	177470
1	202	101277
2	226	75327
3	250	62377
4	275	54861
5	299	49543
6	324	46010
7	347	43118
8	370	40767
9	391	38787
10	410	36932
11	433	35691
12	458	34776
13	483	34043
14	511	33580
15	537	33083
16	565	32688
17	586	32011
18	611	31547
19	634	31091
20	659	30747
21	684	30435
22	712	30255
23	736	29941
24	759	29615
25	778	29157
26	797	28729
27	818	28416
28	839	28097
29	862	27884
30	885	27678
31	907	27457
32	928	27202
33	948	26961
34	970	26759
35	992	26589
36	1018	26516
37	1043	26412
38	1072	26434
39	1106	26557
40	1135	26551
41	1162	26517
42	1190	26504
43	1211	26313
44	1239	26299
45	1265	26250
46	1297	26315
47	1332	26418
48	1361	26432
49	1393	26481
50	1418	26403
51	1444	26334
52	1470	26278
53	1493	26170
54	1532	26334
55	1564	26367
56	1587	26264
57	1606	26099
58	1624	25909
59	1644	25765
60	1663	25605
61	1683	25465
62	1701	25311
63	1726	25250
64	1748	25146
65	1765	24987
66	1785	24869
67	1803	24723
68	1823	24606
69	1841	24461
70	1859	24328
71	1878	24218
72	1899	24120
73	1924	24082
74	1946	24005
75	1968	23934
76	1986	23808
77	2001	23663
78	2022	23576
79	2042	23490
80	2061	23388
81	2081	23303
82	2101	23220
83	2123	23151
84	2147	23114
85	2164	23006
86	2187	22952
87	2205	22859
88	2224	22773
89	2247	22725
90	2265	22631
91	2284	22551
92	2304	22479
93	2324	22408
94	2347	22366
95	2367	22292
96	2383	22185
97	2405	22136
98	2424	22063
99	2445	22011
100	2463	21924
101	2484	21869
102	2503	21802
103	2525	21757
104	2552	21759
105	2572	21697
106	2589	21609
107	2611	21566
108	2630	21503
109	2652	21457
110	2671	21395
111	2694	21359
112	2713	21297
113	2732	21233
114	2750	21169
115	2767	21091
116	2786	21031
117	2805	20972
118	2830	20953
119	2849	20893
120	2868	20834
121	2886	20770
122	2903	20699
123	2921	20641
124	2937	20560
125	2952	20483
126	2977	20464
127	2995	20404
128	3014	20353
129	3037	20328
130	3057	20279
131	3076	20230
132	3095	20180
133	3118	20153
134	3136	20096
135	3157	20058
136	3176	20012
137	3197	19972
138	3217	19929
139	3239	19898
140	3255	19830
141	3274	19783
142	3295	19750
143	3314	19701
144	3334	19660
145	3354	19621
146	3371	19562
147	3392	19527
148	3409	19472
149	3425	19411
150	3444	19366
151	3468	19348
152	3489	19317
153	3520	19339
154	3550	19355
155	3577	19355
156	3603	19349
157	3628	19337
158	3654	19331
159	3682	19335
160	3710	19338
161	3732	19306
162	3759	19306
163	3783	19285
164	3804	19253
165	3828	19234
166	3856	19236
167	3882	19226
168	3904	19200
169	3930	19189
170	3952	19160
171	3978	19154
172	4002	19131
173	4022	19097
174	4050	19093
175	4069	19054
176	4094	19036
177	4113	18997
178	4133	18959
179	4154	18924
180	4173	18884
181	4194	18850
182	4215	18821
183	4236	18785
184	4251	18730
185	4273	18703
186	4296	18680
187	4317	18649
188	4342	18632
189	4357	18576
190	4376	18537
191	4399	18512
192	4420	18484
193	4442	18458
194	4463	18426
195	4479	18376
196	4503	18357
197	4529	18347
198	4549	18311
199	4569	18277
200	4589	18245
201	4607	18200
202	4623	18150
203	4642	18114
204	4659	18069
205	4677	18030
206	4699	18002
207	4717	17961
208	4737	17931
209	4756	17895
210	4773	17849
211	4789	17800
212	4810	17775
213	4830	17741
214	4847	17700
215	4866	17664
216	4885	17627
217	4903	17589
218	4920	17547
219	4939	17513
220	4958	17476
221	4978	17448
222	4994	17401
223	5015	17376
224	5038	17354
225	5057	17321
226	5075	17281
227	5096	17256
228	5118	17234
229	5138	17201
230	5153	17157
231	5176	17134
232	5196	17106
233	5218	17082
234	5238	17051
235	5259	17027
236	5281	17002
237	5300	16971
238	5320	16942
239	5339	16908
240	5359	16878
241	5377	16842
242	5397	16813
243	5416	16782
244	5435	16750
245	5454	16718
246	5474	16690
247	5497	16670
248	5517	16642
249	5536	16610
250	5553	16571
251	5573	16544
252	5593	16515
253	5614	16489
254	5631	16452
255	5651	16423
256	5670	16394
257	5697	16386
258	5716	16354
259	5734	16322
260	5756	16299
261	5780	16282
262	5810	16281
263	5834	16266
264	5858	16249
265	5880	16226
266	5904	16210
267	5932	16204
268	5958	16191
269	5980	16170
270	6002	16146
271	6028	16135
272	6049	16110
273	6074	16095
274	6098	16077
275	6125	16069
276	6151	16056
277	6178	16046
278	6199	16020
279	6223	16002
280	6256	16008
281	6289	16014
282	6313	15996
283	6339	15982
284	6363	15963
285	6384	15939
286	6407	15917
287	6429	15895
288	6457	15885
289	6491	15892
290	6522	15891
291	6547	15876
292	6573	15861
293	6599	15846
294	6620	15822
295	6644	15802
296	6669	15786
297	6698	15780
298	6726	15769
299	6752	15754
300	6777	15739
301	6799	15716
302	6825	15700
303	6852	15688
304	6875	15666
305	6904	15659
306	6929	15642
307	6959	15637
308	6986	15624
309	7011	15607
310	7037	15590
311	7063	15576
312	7088	15559
313	7113	15540
314	7134	15514
315	7164	15508
316	7190	15491
317	7212	15467
318	7239	15455
319	7263	15434
320	7286	15413
321	7303	15377
322	7322	15348
323	7344	15322
324	7363	15292
325	7386	15270
326	7405	15241
327	7424	15212
328	7444	15182
329	7465	15157
330	7491	15141
331	7514	15119
332	7535	15094
333	7559	15073
334	7586	15060
335	7613	15045
336	7633	15018
337	7656	14995
338	7681	14978
339	7701	14949
340	7720	14921
341	7744	14899
342	7771	14886
343	7796	14867
344	7819	14846
345	7844	14828
346	7866	14804
347	7892	14787
348	7919	14773
349	7945	14756
350	7968	14733
351	7992	14712
352	8009	14680
353	8031	14655
354	8048	14622
355	8064	14589
356	8089	14569
357	8108	14541
358	8129	14515
359	8145	14481
360	8164	14451
361	8185	14426
362	8208	14404
363	8226	14374
364	8243	14342
365	8261	14310
366	8276	14276
367	8294	14244
368	8316	14221
369	8336	14194
370	8355	14166
371	8376	14140
372	8397	14115
373	8419	14092
374	8436	14061
375	8456	14033
376	8479	14011
377	8502	13991
378	8523	13966
379	8543	13938
380	8561	13910
381	8585	13889
382	8602	13857
383	8619	13827
384	8643	13807
385	8659	13775
386	8678	13747
387	8697	13718
388	8719	13695
389	8737	13666
390	8754	13635
391	8770	13603
392	8790	13577
393	8808	13548
394	8830	13525
395	8849	13498
396	8870	13472
397	8889	13445
